cena.napoju;cena.frytek;cena.burgera;liczba.menedzerow;otwarte;liczba.pracownikow;cena.napoju2;cena.frytek2;cena.burgera2;liczba.menedzerow2;otwarte2;liczba.pracownikow2;sieciowka;gestosc.zal;przestepczosc;ubodzy;brak.auta;liczba.sklepow;dochod;Burger.King;KFC;Roy.Rogers
0.91;0.89;0.81;3;10.5;7.5;1.01;0.84;0.86;4;10.5;8;4;6045.26;0.0601558;0.340465;0.543236;2;18963;0;0;0
0.94;0.74;0.86;5;11.5;20;0.98;0.84;0.86;5;12;20;4;6045.26;0.0601558;0.340465;0.543236;2;18963;0;0;0
0.89;0.79;1.8;4;11.5;13.5;1;0.8;1.81;4;11.5;15;4;2280.73;0.0051802;0.183236;0.199348;3;26355;0;0;0
0.89;0.77;0.84;3;11.5;35;1;0.8;1.81;3;11.5;15;4;2280.73;0.034948;0.109913;0.222658;2;27759;0;0;0
0.95;0.84;0.94;3;11.5;50;1;0.84;0.94;3;12.5;16;4;1835;0.0461039;0.170223;0.138844;2;29797;0;0;0
1.06;1.05;1.06;4;15.5;20;1.11;1.09;2.07;4;15.5;20;4;18388;0.0945454;0.203682;0.391949;5;31314;0;0;0
0.91;0.91;1.94;4;11.5;14;0.97;0.9;2.06;3;11.5;14.5;4;9410;0.0881439;0.134611;0.24391;2;31887;0;0;0
1.17;0.95;0.85;6;16;16;1.37;0.95;2.03;6;16;17;4;13602;0.108739;0.161124;0.260423;1;33306;0;0;0
1.06;0.86;1.06;3;16;25;1;0.85;1.05;3;15;33;4;204;0.0559881;0.109427;0.0934112;1;33510;0;0;0
0.89;0.86;0.95;3;12.5;10;1;0.85;0.95;2;11.5;12.5;4;604;0.0610572;0.111178;0.11448;3;35998;0;0;0
1.06;0.98;1.06;3;12.5;16.5;1.05;0.89;2.11;3;12.5;22;4;11187;0.0508752;0.111877;0.225859;1;36705;0;0;0
0.87;0.77;1.01;3;12;20.5;1.04;0.84;0.94;4;12;14;4;6045.26;0.0601558;0.0821592;0.0940994;7;36871;0;0;0
0.91;0.91;1.06;4;11.5;15;1.01;0.95;1.05;3;11.5;50;4;9410;0.0881439;0.109182;0.202827;2;37367;0;0;0
0.87;0.77;1.65;5;12;19;1.01;0.84;0.95;6;12;29.5;4;1763.92;0.058349;0.0510291;0.0847772;4;38465;0;0;0
0.95;0.92;0.95;3;16;17.5;1;0.84;2.69;3;16;20.5;4;4215;0.0249147;0.0434402;0.098887;2;39207;0;0;0
0.95;0.71;0.95;2;11.5;11;1;0.85;0.94;2;10.5;13;4;1666;0.0621878;0.138885;0.0985172;4;39672;0;0;0
0.91;0.84;0.85;3;12;25;0.98;0.84;0.9;3;12;23.75;4;8844;0.0697487;0.0707771;0.166113;6;40370;0;0;0
0.95;0.85;0.99;3;11;7.5;1.01;0.9;1.26;3;13;8.5;4;2237;0.0439381;0.130145;0.198524;4;40656;0;0;0
1.06;0.98;1.06;3;14;17;1.11;1.09;2.07;6;12.5;17.5;4;8966;0.0527327;0.0927505;0.236587;3;40719;0;0;0
0.95;0.92;0.95;3;11.5;10.5;1;0.85;0.89;2;11.5;11.5;4;2329;0.0234192;0.0837864;0.0506108;4;41157;0;0;0
0.87;0.79;0.9;3;12;35;1.01;0.78;0.9;4;12;16;4;4011.43;0.0257301;0.0360799;0.0717868;2;42350;0;0;0
1.06;0.85;1.06;3;11.5;15;0.94;0.84;2.11;3;12.5;20.5;4;5419;0.0440285;0.0502388;0.113924;3;42361;0;0;0
0.89;0.79;2.01;3;11.5;12.5;1;0.8;1.8;3;11.5;15;4;3217.06;0.012068;0.0346845;0.0511178;2;43847;0;0;0
1.06;0.98;2.03;3;12.5;11;1.11;1.09;2.07;3;12.5;17.5;4;10368;0.0507702;0.0516433;0.132066;3;44883;0;0;0
0.95;0.89;0.95;3;12.5;14;1;0.85;0.94;2;11.5;11.5;4;4975;0.021374;0.0324015;0.10341;2;45405;0;0;0
0.95;0.86;0.95;3;11.5;14.5;1;0.84;2.35;3;12.5;24;4;7144;0.0159968;0.053199;0.0573632;2;45443;0;0;0
0.91;0.85;1.06;4;12;25;1.05;0.84;1.26;3;12.5;19.5;4;816;0.0348677;0.0376937;0.0432113;6;45771;0;0;0
1.06;0.95;1.06;4;12;40;1.02;0.94;1.05;4;12;12.5;4;2379;0.0628261;0.0376937;0.0432113;6;45771;0;0;0
0.87;0.82;1.79;4;12;30;0.92;0.79;0.87;2;12;18;4;6045.26;0.0601558;0.0321562;0.0797298;2;46197;0;0;0
1.17;1.17;1.38;2;10.5;10;1.05;1.16;2.32;3;10.5;11.5;4;9262;0.0609463;0.0698492;0.14873;6;46255;0;0;0
1.01;0.86;0.95;3;15.5;12;0.94;0.79;1.26;3;14.5;13;4;1280;0.0482324;0.0343892;0.039478;5;46469;0;0;0
0.95;0.85;1.06;5;11.5;24;1.11;0.84;1.26;4;12.5;17.5;4;952;0.023496;0.0440123;0.0376344;3;46472;0;0;0
0.95;0.86;0.95;3;10.5;17.5;1;0.85;0.94;3;10.5;12.5;4;3656;0.0798947;0.0632239;0.067521;4;47996;0;0;0
1.06;0.95;1.06;4;11.5;32.5;1.01;0.89;1.26;5;11.5;55.5;4;4030;0.0528866;0.0474361;0.0859714;4;48350;0;0;0
0.95;0.86;0.95;3;11.5;14;1;0.85;0.94;3;11.5;13;4;1938;0.0363918;0.0287831;0.0476508;7;48574;0;0;0
1.01;0.79;0.85;3;14;7;1;0.85;2.11;2;14;14;4;163;0.0249977;0.0395137;0.0441264;1;49167;0;0;0
0.95;0.86;0.95;3;12.5;17.25;1;0.84;0.89;3;12.5;20.5;4;2758;0.037441;0.0523969;0.0468085;3;49700;0;0;0
0.91;0.86;1.06;3;11.5;20;1;0.94;1.05;5;11.5;22.5;4;2893;0.0411818;0.0381158;0.0336869;4;51806;0;0;0
1.06;1.03;1.06;3;13.5;15.25;1.11;0.98;1.05;4;13.5;29;4;4034;0.0726935;0.0344314;0.0673256;4;51848;0;0;0
0.9;0.69;1.75;5;12;14;0.9;0.69;0.94;5;12;15.5;4;6171.43;0.0697487;0.0237512;0.0369079;3;53087;0;0;0
1.02;0.91;2.57;4;13;14;0.95;0.89;1.19;6;12.5;27.5;4;2491;0.031982;0.0288357;0.0327436;4;56126;0;0;0
1.02;0.91;1.06;4;12.5;17.5;1.05;0.84;1.34;3;12.5;22.5;4;4656;0.0317088;0.0301999;0.0758146;1;56442;0;0;0
0.95;0.8;1.06;4;11.5;16.5;1;0.85;1.05;4;11.5;14;4;1367;0.027519;0.0202933;0.0171282;4;57055;0;0;0
1.06;0.89;1.06;3;12.5;25;1.05;0.98;1.05;4;12.5;18.5;4;1995;0.0288791;0.026696;0.0639248;3;57424;0;0;0
0.95;0.85;1.06;4;11.5;17.5;1;0.9;2.11;3;12.5;15;4;668;0.0338325;0.0355372;0.0728962;3;57697;0;0;0
0.91;0.85;1.06;3;12.5;25;0.94;0.94;1.26;3;12.5;22.5;4;1962;0.0415863;0.0225605;0.038316;8;63905;0;0;0
1.06;0.98;1.06;3;12;31.5;1.11;0.98;2.07;4;11.5;22.5;4;1889;0.0567358;0.0229062;0.0320464;7;65000;0;0;0
1.02;1.01;0.52;4;15;37.5;1.03;0.9;0.59;4;16;17.5;1;11401;0.14823;0.329236;0.627238;3;20323;1;0;0
1.06;0.95;1.11;5;16;18;1.15;0.95;1.13;4;16;17.5;1;11401;0.14823;0.272204;0.458126;3;24189;1;0;0
1.12;1.02;1.06;5;17;18;1.11;1.01;1.05;3;17;10;1;11401;0.14823;0.270365;0.431119;3;24773;1;0;0
1.22;1.06;0.93;3;11;7;1.26;1.05;1.02;3;10;4;1;3208;0.359712;0.283888;0.544033;8;25671;1;0;0
1.22;0.93;0.96;2;12;4;1.26;1.05;1.05;3;10.5;4;1;3208;0.359712;0.283888;0.544033;8;25671;1;0;0
1;0.87;0.94;4;16;17;1;0.74;0.95;3;16;14.5;1;4219.49;0.0229363;0.121693;0.199516;3;27960;1;0;0
1.06;0.95;0.95;3;16;17.5;1.05;0.95;0.95;3;16;14.5;1;41437;0.060522;0.167697;0.382799;3;29319;1;0;0
1.17;0.95;0.63;4;19;37;1.15;0.95;0.64;4;19;18.5;1;15600;0.0897754;0.236316;0.430749;3;29740;1;0;0
1.06;0.95;0.95;2;17;15;1.05;0.95;0.95;3;17;21;1;15600;0.0897754;0.20418;0.450884;3;30577;1;0;0
0.96;1;1.03;4;16.5;20;1.05;0.99;1.16;4;16.5;22.5;1;41437;0.060522;0.158385;0.39587;3;30587;1;0;0
0.94;0.74;0.79;5;16;47.5;0.94;0.74;0.79;4;16;30;1;10336.7;0.020832;0.10523;0.18559;2;30734;1;0;0
0.95;0.75;0.79;3;15.5;19.75;0.94;0.74;0.79;5;15.5;16;1;2280.73;0.034948;0.0748924;0.142383;1;30833;1;0;0
1.18;1.02;1.06;4;17;17;1.1;1.01;0.99;4;18;34;1;18388;0.0945454;0.203682;0.391949;5;31314;1;0;0
1.17;0.95;0.95;3;18;13.5;1.26;1.01;1;3;18;13.5;1;16693;0.0746676;0.128561;0.227659;2;31639;1;0;0
1.06;0.94;1.1;4;15;16.5;1.05;1.05;1.04;4;15;15;1;3240;0.0493827;0.0718378;0.114218;2;32104;1;0;0
1.05;0.94;1.07;3;16;18;1.11;1.09;1;4;16;21.5;1;11401;0.14823;0.144612;0.305108;2;32241;1;0;0
1.02;0.91;0.85;5;16;12.5;0.9;0.93;0.92;6;16;15.5;1;2914;0.0938127;0.159607;0.117456;3;32635;1;0;0
0.95;0.75;0.8;4;15;32.5;0.91;0.73;0.75;3;16;24;1;370.7;0.0144537;0.0849315;0.123423;2;33696;1;0;0
1.13;1.06;0.95;4;15;9;1.01;1.01;0.94;3;15;16;1;749;0.0371278;0.067419;0.0863459;2;34158;1;0;0
0.95;0.73;0.8;4;16;25;0.94;0.74;0.74;4;16;21;1;374.734;0.0118427;0.0877029;0.128571;2;34384;1;0;0
1.06;1.02;0.95;3;17;16.5;1.05;0.95;0.95;3;17;27;1;15600;0.0897754;0.15092;0.371198;2;34443;1;0;0
1.06;1;1.06;4;17.5;14.25;1.05;0.99;1.05;3;17.5;18.75;1;15600;0.0897754;0.15092;0.371198;2;34443;1;0;0
1.06;0.87;0.91;3;15;20.5;1.05;0.87;0.94;4;15;22.5;1;283;0.0299437;0.067086;0.0589618;3;34714;1;0;0
1.02;0.85;0.82;4;15;11;1.05;0.87;0.82;4;16;13;1;788;0.0834429;0.10888;0.13039;7;35488;1;0;0
1.06;0.84;0.89;2;15;15.5;1.05;0.87;0.82;7;16;21;1;788;0.0834429;0.10888;0.13039;7;35488;1;0;0
1.04;0.85;0.91;5;16;19;1.05;0.9;0.94;5;16;27;1;331;0.0402311;0.154954;0.183443;3;36633;1;0;0
1.06;0.92;0.87;3;16;22.5;1.05;0.94;0.94;3;16;19;1;2763;0.0775566;0.0921622;0.123482;3;36701;1;0;0
0.98;0.83;0.86;6;16;12;0.98;0.75;0.86;2;17.5;17;1;6045.26;0.0601558;0.0821592;0.0940994;7;36871;1;0;0
1.01;0.84;0.63;3;14;16;0.98;0.79;0.87;5;14;20;1;6045.26;0.0601558;0.0821592;0.0940994;7;36871;1;0;0
1.02;0.88;0.91;2;15;5;1.05;1.11;0.94;5;16;11.5;1;3290;0.0546088;0.0766652;0.1043;6;36921;1;0;0
1.04;0.67;0.85;4;16;32;1.11;0.92;1.01;4;16;16;1;2259;0.0578616;0.115332;0.198209;3;37285;1;0;0
1.02;0.89;0.9;3;15;29;1.02;0.94;0.9;3;15;18;1;452.4;0.0080905;0.0251025;0.0713246;2;37477;1;0;0
0.95;0.94;0.95;3;18;55;0.97;0.84;0.86;4;18;25;1;7379.09;0.0368363;0.065327;0.116329;3;37830;1;0;0
0.98;0.82;0.85;6;16.5;13.5;0.94;0.78;0.91;6;17.5;21;1;6451.46;0.0578806;0.0727119;0.117137;2;37883;1;0;0
1.05;0.95;0.98;5;17;25;0.98;0.82;0.76;6;17.5;20;1;5433;0.019293;0.0750053;0.126871;2;38782;1;0;0
0.95;0.79;0.91;3;18;21;0.96;0.84;1.18;3;18;20;1;4996.67;0.0248499;0.0504995;0.0809199;2;38788;1;0;0
1;0.85;0.88;2;16;14.5;1.05;0.84;0.87;2;16;14.5;1;292;0.0339122;0.0735619;0.0681422;3;39345;1;0;0
1.06;0.89;0.91;3;16;15;0.93;0.84;0.93;3;16;25;1;1666;0.0621878;0.138885;0.0985172;4;39672;1;0;0
1.06;0.88;0.84;3;16;19.75;1.05;0.94;0.89;3;16;27.5;1;569;0.0466599;0.0698809;0.0698635;3;39756;1;0;0
1.06;0.95;1.06;3;16.5;13.5;1.08;1.02;0.87;3;17.5;11.25;1;2932;0.0446349;0.0659936;0.0867926;3;40050;1;0;0
0.92;0.72;0.96;5;18;21.5;0.92;0.81;0.87;4;18;26.5;1;8844;0.0697487;0.0707771;0.166113;6;40370;1;0;0
0.97;0.84;0.91;4;18;35;0.97;0.86;0.91;3;18;23.5;1;4309.02;0.0257489;0.0573621;0.100693;4;40585;1;0;0
0.97;0.86;0.89;4;17;18.5;0.97;0.84;0.86;2;17;33.5;1;4309.02;0.0257489;0.0573621;0.100693;4;40585;1;0;0
1.18;0.88;0.98;4;16;21;1.05;0.9;0.98;3;16;30;1;11199;0.0872076;0.130145;0.198524;4;40656;1;0;0
1.27;1.01;1.06;4;17;21;1.37;1.02;1.05;5;17;23;1;8966;0.0527327;0.0927505;0.236587;3;40719;1;0;0
1.06;0.95;0.95;3;17;17.5;1.05;0.95;0.95;3;17;36;1;9762;0.0315813;0.0612684;0.109958;1;40760;1;0;0
0.97;0.86;0.91;4;19;44.5;1.01;0.88;0.91;4;18;23;1;4520.5;0.0307488;0.0429921;0.062506;3;40831;1;0;0
1.09;0.95;1.04;3;16;13;1.11;1.01;1.05;6;16;18.5;1;2518;0.0296963;0.0453767;0.0710941;3;41129;1;0;0
1.02;0.88;0.82;4;15;10.25;1.04;0.87;0.87;3;15;13;1;2329;0.0234192;0.0837864;0.0506108;5;41157;1;0;0
1.06;0.91;0.98;3;18;30;1.05;0.94;0.98;4;17.5;25;1;11400;0.0360003;0.0879072;0.26943;3;41164;1;0;0
1.01;0.95;1.03;4;15.5;20;1.1;0.94;1.02;4;15.5;25.5;1;1687;0.0507632;0.023415;0.0392157;1;41196;1;0;0
1.04;1.12;1.02;3;16;17.5;1.19;0.98;1.01;3;16;17.5;1;1131;0.0377738;0.0639788;0.0733945;2;42755;1;0;0
0.96;0.93;0.93;4;17.5;14.5;1.05;0.94;0.94;4;17.5;20.75;1;5119;0.062179;0.0613623;0.0961228;1;42893;1;0;0
1.06;0.91;0.98;5;16;24;1.05;0.9;1.04;4;16;19;1;3750;0.0607903;0.0608489;0.174595;1;43022;1;0;0
1.06;0.93;0.88;4;16;20;1.09;0.94;0.93;5;16;17;1;1672;0.0671423;0.062553;0.0600714;4;43470;1;0;0
1.05;0.91;0.93;4;16;19.5;1.04;0.93;0.95;5;16;28;1;565;0.0263158;0.055336;0.0634374;3;43628;1;0;0
0.98;0.84;0.84;7;16.5;25.5;0.98;0.84;0.86;7;16.5;18.5;1;2748.2;0.0532673;0.0715815;0.0799149;4;43886;1;0;0
0.98;0.82;0.8;7;16.5;20;0.98;0.82;0.87;6;17.5;19.5;1;2748.2;0.0532673;0.0715815;0.0799149;4;43886;1;0;0
1.06;0.95;0.95;3;17;9.5;1.05;0.95;0.95;4;17;19;1;3900;0.0546059;0.0604782;0.100529;2;44018;1;0;0
1.06;0.95;1.01;4;15;17.5;1.05;0.94;1;3;15;28;1;4424;0.0334823;0.0835001;0.115134;2;44515;1;0;0
1.06;0.91;0.95;3;16.5;21.5;1.05;0.89;0.95;4;17.5;24.5;1;4030;0.0528866;0.0365789;0.0788428;3;44534;1;0;0
0.93;0.83;0.85;4;16;31;1.05;0.79;0.9;4;16;40;1;2198;0.0322808;0.0336309;0.096032;4;44598;1;0;0
1.02;0.91;0.93;4;15;34;0.95;1.05;0.94;5;16;20;1;1907;0.0310366;0.0336062;0.0635771;2;44778;1;0;0
0.97;0.84;0.91;4;18;17;0.96;0.83;0.87;3;18;21.5;1;896.5;0.006035;0.0308797;0.0354898;1;45160;1;0;0
0.97;0.84;0.91;4;16.5;14.5;0.97;0.84;1;3;18;38.25;1;1412.9;0.0107989;0.0359122;0.0555331;2;45763;1;0;0
1.06;0.95;0.95;4;15;15;1.11;0.95;1.14;4;16;16;1;2379;0.0628261;0.0376937;0.0432113;6;45771;1;0;0
1.12;1.02;1.06;5;12.5;12;1.11;1.01;1.05;3;13;18.5;1;2379;0.0628261;0.0376937;0.0432113;6;45771;1;0;0
1.09;0.95;1.03;4;15;13;1.11;1.01;1.05;3;15;17;1;4913;0.0331188;0.0380384;0.0774101;4;45907;1;0;0
1.1;0.95;1.1;5;19;22.5;1.06;1.05;1.04;5;18.5;40;1;9262;0.0609463;0.0698492;0.14873;6;46255;1;0;0
1.06;0.95;0.91;3;15;14;1.05;0.74;0.94;4;16;18;1;1280;0.0482324;0.0343892;0.039478;5;46469;1;0;0
1.06;0.95;0.95;4;16;10;1.05;0.94;0.94;3;16;13;1;462;0.0515021;0.0615117;0.0772214;1;46700;1;0;0
1.09;0.93;1.04;4;17;19;1.11;1.05;1.05;4;17;15;1;1835;0.0461039;0.0502619;0.0639587;6;46701;1;0;0
1.12;1.02;1.02;3;12.5;17;1.11;1.01;1.05;3;12.5;17.5;1;1835;0.0461039;0.0502619;0.0639587;6;46701;1;0;0
1.04;0.88;0.94;3;18;67.5;1.04;0.86;0.94;5;18;24;1;896.5;0.006035;0.040337;0.0452868;3;46886;1;0;0
1.05;0.84;0.96;5;24;18.5;1.11;0.84;0.94;6;24;30.5;1;896.5;0.006035;0.040337;0.0452868;3;46886;1;0;0
1.06;0.95;0.95;3;16;17.5;1.05;0.94;0.94;3;16;17.5;1;7794;0.0788823;0.0600893;0.0990379;2;46966;1;0;0
0.97;0.78;0.99;4;16.5;22;0.96;0.84;0.89;4;17;16;1;4098.92;0.0298694;0.0364045;0.076106;3;46988;1;0;0
1.06;0.91;0.98;4;16;37.5;1.01;0.94;0.94;4;16;20;1;6039;0.031701;0.0386507;0.0757396;2;47891;1;0;0
1.1;1.02;1.08;3;16;20;1.29;1.11;1.18;4;16;30;1;653;0.0239083;0.0397589;0.0754146;2;47994;1;0;0
0.84;0.84;0.94;3;16.5;21.5;1.03;0.91;0.91;6;18;37.5;1;1412.9;0.0107989;0.0381418;0.0715134;2;48141;1;0;0
1.06;0.92;0.9;3;16;15;1.08;0.94;0.84;3;18;29;1;2325;0.0416008;0.0287831;0.0476508;6;48574;1;0;0
1.02;0.89;0.91;3;16;17;1.04;0.93;0.96;5;16.25;17.5;1;1938;0.0363918;0.0287831;0.0476508;7;48574;1;0;0
1.06;0.85;0.95;2;16;21;0.95;0.95;0.95;2;16;9.5;1;4775;0.0356287;0.0444408;0.0284454;3;48741;1;0;0
1.05;0.79;0.91;3;16;18.25;1.01;0.92;0.94;4;16;22.5;1;1037;0.0339711;0.0593957;0.0723028;2;50279;1;0;0
1.06;0.91;0.98;3;16;16.5;1.05;0.94;0.98;4;16;30;1;9850;0.0254588;0.0334977;0.0735323;2;50665;1;0;0
0.99;0.89;0.89;4;17;28;1.05;0.95;0.95;5;17;15.5;1;2256;0.0311576;0.033978;0.0566964;3;50708;1;0;0
1.02;0.85;0.85;4;15;19;0.94;0.78;0.84;2;15;21.25;1;2868;0.0507008;0.0360678;0.0987546;6;51022;1;0;0
0.97;1.05;0.91;3;16.5;38.5;0.96;0.84;0.91;3;17;20.5;1;5679.65;0.0324813;0.02757;0.0672836;5;51025;1;0;0
1.07;1.02;1.02;3;17;35;1.05;0.95;0.95;3;17;21.5;1;4943;0.0387335;0.0364397;0.0568231;2;51257;1;0;0
1.02;0.95;0.95;3;17;12.5;1.05;0.94;0.94;3;17;23.5;1;7970;0.0252408;0.049851;0.0874396;1;51451;1;0;0
0.97;0.82;0.84;3;16.5;12.5;0.91;0.84;0.86;3;18;31.5;1;5406;0.006035;0.0422458;0.0628277;4;51489;1;0;0
1.09;0.89;0.91;4;16;25;1.05;0.87;0.94;3;16;24;1;2198;0.0322808;0.0384186;0.0678339;5;51548;1;0;0
1.04;0.85;0.85;4;16;25;0.94;0.87;0.94;4;16;22.5;1;11823;0.100186;0.0384186;0.0678339;5;51548;1;0;0
1.16;1.02;1.09;3;16;18;1.15;1.01;1.01;3;16;22;1;2279;0.0303151;0.0417686;0.0791096;3;51675;1;0;0
1.49;1.02;1.11;2;13;15.25;1.39;0.95;1.21;3;13;28;1;2893;0.0411818;0.0381158;0.0336869;4;51806;1;0;0
1.06;0.95;1.01;4;16;13;1.05;0.94;1;6;16;8.5;1;3229;0.0203021;0.0182062;0.0475192;3;53961;1;0;0
1.06;0.95;0.95;3;16;12.5;1.05;0.94;0.94;3;16.5;21;1;2499;0.0536385;0.0278037;0.0266369;3;54216;1;0;0
1.13;0.98;1.01;3;12.5;10.5;1.09;0.94;0.94;3;13;15;1;1412.9;0.0107989;0.0251859;0.0368119;4;54252;1;0;0
1.06;0.95;1;4;16;11;1.05;0.9;0.98;5;16;22;1;1474;0.0289509;0.0213687;0.0540129;2;55852;1;0;0
1.1;0.96;1.1;4;18.5;14;1.05;0.99;1.03;4;19;27.5;1;6842;0.0252389;0.0367507;0.0947038;2;55878;1;0;0
1.09;0.95;1.04;3;16;18;1.18;1.04;1.03;5;16;16.25;1;2237;0.0439381;0.0148394;0.0435644;3;55917;1;0;0
1.06;0.92;0.92;3;17;14;1.05;0.94;0.94;3;17;13.5;1;3656;0.0782968;0.0202933;0.0171282;3;57055;1;0;0
1.06;0.95;1.06;4;17;32.5;1.05;0.95;1.01;4;17;13.5;1;2607;0.0488062;0.0269086;0.0534391;2;57139;1;0;0
1.17;0.95;1.02;4;15;42.5;1.16;0.94;0.94;5;15;18.75;1;1995;0.0288791;0.026696;0.0639248;3;57424;1;0;0
1.06;0.95;0.98;10;17.5;26;1.05;0.94;1.04;5;18;26;1;3924;0.0195668;0.0249824;0.0798983;3;58039;1;0;0
1.06;0.95;0.95;3;16;21;1.05;0.95;0.95;4;15;23;1;3232;0.0463903;0.0403421;0.0751378;2;59266;1;0;0
1.07;0.95;0.95;5;16;17.5;1.11;0.94;0.94;4;16.5;40;1;912;0.0425666;0.0373703;0.0482296;2;60173;1;0;0
1.15;0.95;0.95;2;16;8;1.16;1.01;1.05;2;16;8;1;12799;0.0375348;0.0598162;0.141686;2;60657;1;0;0
1.27;1.17;1.1;4;16.5;20;1.37;1.16;1.16;5;16.5;22.5;1;12799;0.0375348;0.0598162;0.141686;2;60657;1;0;0
0.9;0.8;0.8;3;16;16.5;1.05;0.88;0.91;5;16;42.5;1;2115;0.0527302;0.0365812;0.0591291;3;61835;1;0;0
1.17;0.95;0.95;3;16;22.5;1.05;0.94;0.94;3;16;18.5;1;2678;0.0310296;0.0292349;0.0501854;1;62056;1;0;0
1.06;0.95;0.95;3;14;15;1.05;0.95;0.94;3;14;17;1;2371;0.146089;0.0303532;0.0308618;5;62509;1;0;0
0.95;0.95;0.96;4;14;9;1.26;1.01;1;3;14;8.5;1;2371;0.146089;0.0303532;0.0308618;5;62509;1;0;0
1.06;0.95;0.95;4;17;19.5;1.05;0.94;0.94;4;17;22.5;1;1088;0.021141;0.0200583;0.0435306;1;63257;1;0;0
1.13;0.98;1.04;3;16;16;1.05;1.05;1.05;4;16;15;1;1962;0.0415863;0.0225605;0.038316;8;63905;1;0;0
1.06;0.91;1.04;3;15;13;1.16;0.94;1.12;4;15;24;1;1962;0.0415863;0.0225605;0.038316;8;63905;1;0;0
0.96;0.95;0.85;3;14.5;21;1.05;0.84;0.84;2;16;23.5;1;509;0.0226055;0.0234694;0.0305526;3;63989;1;0;0
