cena.napoju;cena.frytek;cena.burgera;liczba.menedzerow;otwarte;liczba.pracownikow;cena.napoju2;cena.frytek2;cena.burgera2;liczba.menedzerow2;otwarte2;liczba.pracownikow2;sieciowka;gestosc.zal;przestepczosc;ubodzy;brak.auta;liczba.sklepow;dochod;Burger.King;KFC;Roy.Rogers
1.06;0.95;1.02;5;16;45;1.05;0.95;1.01;5;16;25;1;3752;0.0273268;0.0262524;0.0316048;1;64818;1;0;0
0.91;0.91;0.91;3;12.5;15;0.9;0.9;0.85;3;12.5;10;1;1062;0.0325763;0.0289966;0.0498539;3;64903;1;0;0
1.06;0.95;0.95;3;17;24;1.05;0.95;0.95;4;17;31;1;1889;0.0567358;0.0229062;0.0320464;7;65000;1;0;0
1.17;1.06;1.17;6;13.5;12.5;1.32;1.05;1.22;5;13.5;12.75;1;1889;0.0567358;0.0229062;0.0320464;7;65000;1;0;0
1.06;0.95;0.95;3;16;27.5;1.05;0.95;0.95;3;16;19.5;1;1889;0.0567358;0.0229062;0.0320464;7;65000;1;0;0
1.11;0.95;1.01;4;16;17.5;0.94;0.94;1;4;15.5;17.5;1;5413;0.0518659;0.0322987;0.0735369;1;65296;1;0;0
1.06;0.95;1.02;3;15;15.5;0.95;0.94;1.01;2;15;11;1;952;0.023496;0.0197356;0.0312887;2;65305;1;0;0
1.06;0.95;1.01;5;14.5;10;1.05;0.94;1;4;14;17.5;1;2893;0.0411818;0.0228436;0.0322058;2;65339;1;0;0
1;0.95;0.89;9;17;12.5;1.05;0.95;0.95;3;17;31.5;1;3774;0.0159621;0.0379497;0.0528351;1;65431;1;0;0
1.06;1.06;0.95;4;16;26;1.06;1.06;1.06;3;16;31;1;2553;0.0279219;0.0180528;0.0187336;1;67716;1;0;0
1.06;0.95;0.95;3;16;17.5;1.05;0.94;0.94;3;16;22;1;3140;0.0103678;0.0253538;0.0431093;1;68286;1;0;0
1.19;0.87;0.95;2;15;33;1.09;1.04;1.01;3;15;7.5;1;394;0.0161641;0.0139455;0.0281637;1;68602;1;0;0
1.06;0.91;0.96;3;14;13;1.05;1.01;0.94;3;15;12.5;1;1155;0.020202;0.0205882;0.0177936;1;69594;1;0;0
0.97;0.84;0.94;3;18;25.5;1.03;0.84;0.94;3;18;23;1;8844;0.0697487;0.0198634;0.0228396;1;70037;1;0;0
1.1;0.94;1.04;4;16;28.5;1.11;1.05;1.05;4;16;23;1;1662;0.019477;0.0162512;0.0586081;2;71621;1;0;0
1.23;0.89;0.89;3.5;16;13.75;1.11;0.88;0.88;3;15;22;1;852;0.0864971;0.0224756;0.0204082;1;71806;1;0;0
1.06;1;1.06;5;16;18;1.05;0.99;1.05;4.5;16;16;1;5660;0.0754834;0.0466379;0.0738214;2;72920;1;0;0
0.95;0.95;1.06;3;13.5;23;1.01;0.94;0.94;3;13.5;27.5;1;1901;0.034011;0.0135908;0.0190736;3;79025;1;0;0
1.06;0.95;0.95;3;16;13.5;1.05;0.96;0.95;4;16;14;1;759;0.0593081;0.0180639;0.0180424;2;80548;1;0;0
1.12;0.89;0.95;3;14;11.75;1.13;0.91;0.91;3;14;6;1;513;0.0200091;0.0131476;0.0390428;1;82084;1;0;0
1.06;0.85;2.34;3;11;6.75;1.05;0.94;2.32;4;14;13.5;2;11401;0.14823;0.41848;0.616642;1;15919;0;1;0
1.02;0.79;2.34;2;11;6.5;0.9;0.73;2.28;3;12;7.5;2;10080;0.149157;0.338218;0.398017;2;19931;0;1;0
0.95;0.74;2.34;3;11;9.5;0.94;0.73;2.32;3;12;9;2;10080;0.149157;0.324406;0.400883;2;20216;0;1;0
1.06;0.85;2.34;2;12;7;1.05;0.84;2.32;3;11;20.75;2;11401;0.14823;0.272204;0.458126;3;24189;0;1;0
1.06;0.85;2.34;4;11;8;1.05;0.84;2.53;2;11;7.5;2;11401;0.14823;0.270365;0.431119;3;24773;0;1;0
1.23;0.98;2.61;3;12;8.5;1.11;0.95;2.59;4;11.5;10;2;3208;0.359712;0.283888;0.544033;8;25671;0;1;0
1.06;1.06;2.45;3;12;3.5;1.05;1.05;2.43;3;11;14;2;16693;0.0746676;0.221411;0.302405;1;26039;0;1;0
1.06;0.85;2.34;2;11.5;7;1.05;0.84;2.32;2;11.5;12;2;9410;0.0881439;0.193499;0.250702;3;28417;0;1;0
1.01;0.84;2.43;3;8;4.5;0.95;0.84;2.43;3;9;6.5;2;370.7;0.0168951;0.127441;0.181992;1;29091;0;1;0
1.06;0.85;2.34;4;12;13;1.05;0.84;2.32;2;12;11.5;2;15600;0.0897754;0.236316;0.430749;3;29740;0;1;0
1.06;1.02;2.34;3;12;11;1.05;1.05;2.32;5;12;32.5;2;18388;0.0945454;0.203682;0.391949;5;31314;0;1;0
1.05;0.95;2.74;3;13.5;17;1.05;0.84;2.32;2;12.5;9.5;2;11401;0.14823;0.203682;0.391949;5;31314;0;1;0
0.91;0.74;2.34;3;10;7.5;0.94;0.73;2.53;2;10.5;13.5;2;3147;0.0624905;0.147196;0.142478;2;31348;0;1;0
1.06;0.85;2.34;3;11;3.5;1.01;0.84;2.32;6;11;10;2;11401;0.14823;0.144612;0.305108;2;32241;0;1;0
1.06;0.8;2.13;3;10.5;11;0.94;0.94;2.43;2;10;5.5;2;2549;0.107075;0.187528;0.169696;2;32360;0;1;0
0.91;0.85;2.34;4;12.5;15;1.01;1.01;2.49;2;12;7.5;2;9223;0.0727238;0.146482;0.25279;3;33462;0;1;0
1.06;1.01;2.66;3;11;10.5;1.05;1;2.73;3;10;7.5;2;792;0.0974464;0.145606;0.161033;2;35277;0;1;0
0.94;0.73;2.32;1;10;8.5;0.95;0.74;2.33;3;11;10.5;2;6171.43;0.0697487;0.066641;0.206913;1;35453;0;1;0
1.06;0.8;2.45;3;12.5;12.5;1.01;0.8;2.43;2;12.5;17.5;2;788;0.0834429;0.10888;0.13039;7;35488;0;1;0
1.06;0.85;2.34;8;13;25;1.05;0.84;2.32;8;13;28.5;2;21792;0.124783;0.123712;0.292874;2;35832;0;1;0
0.95;0.85;2.45;3;12;13.5;1.05;0.84;2.43;4;12.5;16;2;604;0.0610572;0.111178;0.11448;3;35998;0;1;0
1.01;0.89;3.5;3;12;11;1.01;0.89;2.35;3;13;14;2;2748.2;0.0532673;0.0652374;0.117958;1;36388;0;1;0
1.02;0.75;2.56;4;10;6;1.05;0.8;2.54;3;10;8;2;1846;0.0618229;0.154954;0.183443;3;36633;0;1;0
1.06;0.85;3.95;3;12.5;5.5;0.95;0.9;2.43;3;11.5;24;2;2763;0.0775566;0.0921622;0.123482;3;36701;0;1;0
1.01;0.9;2.35;4;13;9.75;1.01;0.89;2.35;4;13;7.5;2;6045.26;0.0601558;0.0821592;0.0940994;7;36871;0;1;0
0.95;0.74;2.19;3;10.5;10;0.95;0.73;2.32;3;12;12.5;2;3290;0.0546088;0.0766652;0.1043;6;36921;0;1;0
0.95;0.74;2.19;3;10;5;0.95;0.73;2.32;4;11;4.5;2;3290;0.0546088;0.0766652;0.1043;6;36921;0;1;0
1.01;0.89;2.35;3;13;7.5;1;0.89;2.35;3;13;13.5;2;1763.92;0.058349;0.0510291;0.0847772;4;38465;0;1;0
1.12;0.8;2.45;2;12;9.5;1.05;0.84;2.43;3;11;7;2;2749;0.0353067;0.0624887;0.11878;2;39203;0;1;0
1.06;0.95;2.77;3;10.5;7.5;1.05;0.94;2.75;3;10.5;11;2;1666;0.0621878;0.138885;0.0985172;4;39672;0;1;0
1.02;0.95;2.56;3;11;15;1.05;0.94;2.53;3;11;8.5;2;569;0.0466599;0.0698809;0.0698635;3;39756;0;1;0
0.95;0.69;1.5;3;10;7;0.94;0.73;2.32;4;11;11.5;2;2482;0.0357215;0.0659936;0.0867926;3;40050;0;1;0
0.95;0.74;2.53;3;10;13.75;0.74;0.73;2.53;3;11;17;2;8844;0.0697487;0.0707771;0.166113;6;40370;0;1;0
0.95;0.74;2.33;3;10;8;0.95;0.84;2.53;3;11;8;2;4309.02;0.0257489;0.0573621;0.100693;4;40585;0;1;0
0.73;0.73;2.32;5;10;6;0.94;0.84;2.32;2;11;9;2;896.5;0.006035;0.0413478;0.0355017;2;40648;0;1;0
1.06;0.8;2.56;4;10;19.5;1.05;0.75;2.53;3;10;7;2;2518;0.0296963;0.0453767;0.0710941;3;41129;0;1;0
1.06;0.95;2.66;3;10;12.5;1.01;0.94;2.75;3;11;7.5;2;2329;0.0234192;0.0837864;0.0506108;5;41157;0;1;0
0.95;0.74;2.34;2;10.5;13;0.95;0.85;2.32;2;12;9.5;2;877;0.0431187;0.0684898;0.0946563;3;41440;0;1;0
0.85;0.74;2.34;2;10;9;0.95;0.73;2.19;3;11;6.5;2;1373;0.07358;0.0762732;0.0986077;4;42022;0;1;0
0.91;0.85;2.34;3;10;19;1.01;0.94;2.64;3;10.5;6;2;3126;0.0353328;0.0502388;0.113924;3;42361;0;1;0
0.95;0.79;2.34;4;11;6;0.94;0.73;2.32;2;10.5;5;2;1672;0.0671423;0.062553;0.0600714;4;43470;0;1;0
1.06;0.95;3.09;3;10;12.5;1.05;0.94;2.75;3;11;7.5;2;11823;0.100186;0.0336309;0.096032;4;44598;0;1;0
1.06;1.01;2.66;4;11;14;1.05;1;2.75;2;10.5;20;2;2379;0.0628261;0.0376937;0.0432113;6;45771;0;1;0
1.06;0.8;2.56;4;10;10;1.05;0.9;2.53;3;10;9.5;2;4913;0.0331188;0.0380384;0.0774101;4;45907;0;1;0
1.06;1.01;2.66;4;11;9.5;1.05;1.05;2.85;4;12;8.75;2;5552;0.0774465;0.0642415;0.084454;2;46272;0;1;0
0.94;0.73;2.53;3;10;5.5;0.94;0.73;2.64;5;11;9;2;896.5;0.006035;0.0504494;0.0877267;2;46296;0;1;0
1.12;0.85;2.45;3;12.5;10;1.05;0.84;2.43;2;12;9.5;2;1280;0.0482324;0.0343892;0.039478;5;46469;0;1;0
0.98;0.85;2.34;2;10.5;12;0.95;0.84;2.49;4;11.5;12.5;2;952;0.023496;0.0440123;0.0376344;3;46472;0;1;0
1.06;0.8;2.56;5;10;12.5;1.05;0.79;2.53;4;10;12;2;1835;0.0461039;0.0502619;0.0639587;6;46701;0;1;0
0.95;0.74;2.33;3;10;5.5;1.01;0.73;2.32;3;11;10;2;4098.92;0.0298694;0.0364045;0.076106;3;46988;0;1;0
1.06;1.01;2.56;2;11;3.5;1.05;1.05;2.64;3;11;6.5;2;7761;0.0759336;0.0931701;0.133085;5;47738;0;1;0
0.95;0.74;2.34;2;9.5;5.5;0.9;0.84;2.32;3;11;6.5;2;3656;0.0798947;0.0632239;0.067521;4;47996;0;1;0
1.06;0.95;2.77;2;10;10.5;1.09;0.9;2.75;3;10;9;2;1938;0.0363918;0.0287831;0.0476508;7;48574;0;1;0
0.95;0.74;2.19;2;10;8.5;0.94;0.73;2.32;3;10.5;6;2;5119;0.062179;0.0523969;0.0468085;3;49700;0;1;0
0.92;0.7;2.34;3;10;5.5;0.95;0.94;2.49;4;11.5;5;2;432;0.0167742;0.03756;0.0219448;2;50628;0;1;0
0.85;0.8;2.34;3;10;6;0.91;0.9;2.45;4;10.5;12.5;2;2256;0.0311576;0.033978;0.0566964;3;50708;0;1;0
1.06;0.85;2.34;5;10.5;14;0.94;0.84;2.32;1;10.5;5.5;2;5558;0.0644691;0.0334931;0.102124;4;50968;0;1;0
1.17;1.27;2.77;3;11;10.5;1.16;1.16;2.75;3;11;9.5;2;4943;0.0387335;0.0364397;0.0568231;2;51257;0;1;0
1.06;0.85;2.49;2;11;14;1.05;0.94;2.6;3;11;12.5;2;2198;0.0322808;0.0384186;0.0678339;5;51548;0;1;0
1.06;1.02;2.34;2;11;8.5;1.15;1.05;2.64;2;11;6.5;2;1082;0.0112211;0.0417686;0.0791096;3;51675;0;1;0
1.06;0.85;2.34;4;10;9;1.05;0.84;2.53;4;10;3.5;2;970;0.059417;0.0309036;0.0540894;1;52913;0;1;0
1.17;1.27;2.77;3;11;9;1.16;1.26;2.75;3;11;20;2;7364;0.0384749;0.0250457;0.0754631;3;52919;0;1;0
1.06;1.01;2.66;2;10;7.5;1.05;0.94;2.59;5;10.5;7.5;2;628;0.0253674;0.0342552;0.0402885;4;53795;0;1;0
1.03;1.06;2.56;3;11;12;1;1.05;2.64;5;12.5;13.5;2;2491;0.031982;0.0288357;0.0327436;4;56126;0;1;0
1.06;0.85;2.34;2;11;10.25;1.05;0.79;2.32;2;11;11;2;2607;0.0488062;0.0269086;0.0534391;2;57139;0;1;0
0.95;0.85;2.34;3;10;9.5;0.94;0.73;2.32;3;10;8;2;1672;0.0671423;0.0456208;0.0679495;1;57178;0;1;0
0.91;0.79;2.34;3;11;6.5;0.95;0.9;2.49;2;11;8.5;2;3924;0.0195668;0.0249824;0.0798983;3;58039;0;1;0
0.95;0.74;2.33;2;10;6.5;0.95;0.74;2.33;4;11;6.5;2;1412.9;0.0107989;0.024632;0.0480313;2;59286;0;1;0
0.91;0.91;2.34;3;10.5;8;0.94;0.84;2.49;4;11;7;2;3126;0.0353328;0.0292281;0.0579337;3;60606;0;1;0
0.95;0.74;2.34;4;10;9;0.95;0.74;2.32;3;10;7.5;2;2115;0.0527302;0.0365812;0.0591291;3;61835;0;1;0
1.06;1.01;2.66;3;10.5;6.5;1.05;1;2.75;3;10.5;5;2;1999;0.0314435;0.0401401;0.0496894;1;63278;0;1;0
0.94;0.73;2.32;2;10;7;0.9;0.73;2.32;2;10.5;6.5;2;2856.11;0.006035;0.011649;0.0118074;1;66147;0;1;0
1.06;1.06;2.66;2;10;17.5;1.05;1.05;2.64;2;10;15.5;2;1675;0.0209963;0.0217573;0.0247074;1;66939;0;1;0
0.91;0.85;2.34;3;12;12.5;0.95;0.83;2.47;2;11;16;2;1136;0.01643;0.0207022;0.0125;2;72638;0;1;0
1.06;1.06;2.53;2;10;8;0.94;0.92;2.69;2;10;5.5;2;4441;0.0250779;0.0165798;0.0401912;1;76689;0;1;0
1.18;1.02;1.06;5;19;19.5;1.11;1.05;1.05;3;18;17.5;3;11401;0.14823;0.327984;0.517266;1;21790;0;0;1
1.06;1.06;1.02;4;16;14.5;0.96;1.01;0.94;4;15;14.5;3;3208;0.359712;0.283888;0.544033;8;25671;0;0;1
1.09;1.06;0.79;4;15;11.5;1.02;1.01;1.01;3;15;8.5;3;3208;0.359712;0.283888;0.544033;8;25671;0;0;1
1.06;1;2.02;4;17;10;1.05;0.94;0.95;4;17;21.5;3;11823;0.100186;0.209686;0.352174;1;27295;0;0;1
1.17;1.06;1.01;3;16;24;1.16;1.16;1;3;16;27.25;3;41437;0.060522;0.167697;0.382799;3;29319;0;0;1
1.17;1.12;1.02;3;18;27;1.11;1.12;1.05;6;17;22;3;18388;0.0945454;0.203682;0.391949;5;31314;0;0;1
1.06;1.06;1.06;4;17;27.5;1.05;1.11;1.05;3;15;19;3;9223;0.0727238;0.146482;0.25279;3;33462;0;0;1
1.06;0.91;1.07;3;16;18.5;1.07;1.01;1.05;2;15;13.5;3;283;0.0299437;0.067086;0.0589618;3;34714;0;0;1
1.02;0.91;0.63;3;11.5;10.5;1.01;0.9;0.63;4;11.5;10.5;3;788;0.0834429;0.10888;0.13039;7;35488;0;0;1
1.06;0.91;0.95;3;16;12;1.01;1.01;0.94;3;16;9.5;3;3684;0.065928;0.0849037;0.166698;1;35682;0;0;1
1.19;0.94;0.85;4;17;28;1.06;1.06;1.05;3;14;21;3;15600;0.0897754;0.159751;0.324063;2;35731;0;0;1
1.17;0.95;0.95;4;18;22;1.11;1.06;1.05;4;16;24.5;3;15600;0.0897754;0.159751;0.324063;2;35731;0;0;1
1.02;0.91;0.8;3;16;15.5;1.01;1.01;1.01;3;16;10.5;3;3290;0.0546088;0.0766652;0.1043;6;36921;0;0;1
1.27;1.27;1.06;3;17;10;1.37;1.31;1.05;4;18;16;3;9410;0.0881439;0.109182;0.202827;2;37367;0;0;1
1.02;0.95;0.95;3;16;10;1.01;1.01;0.89;3;16;9.5;3;4960;0.0211891;0.0725547;0.0769231;2;37575;0;0;1
1.06;0.91;1.12;4;16;12.5;1.01;1.01;0.89;2;17;15;3;5164;0.0384675;0.0282084;0.0610785;1;39509;0;0;1
1.05;0.79;1.01;3;16;26.5;1.01;1.01;0.94;3;15;12.5;3;2273.39;0.0310892;0.0707771;0.166113;6;40370;0;0;1
1.05;0.9;2.01;3;16;33;1.02;1.01;0.84;4;16;15;3;4520.5;0.0307488;0.0429921;0.062506;3;40831;0;0;1
1.06;0.91;0.91;3;17;16.5;1.01;1.01;0.94;4;17;24.5;3;1373;0.07358;0.0762732;0.0986077;4;42022;0;0;1
1.12;0.85;1.06;3;12.5;14;1.01;1.01;0.89;3;11.5;9.5;3;1373;0.07358;0.0762732;0.0986077;4;42022;0;0;1
1.05;0.9;0.73;3;16;17.5;1.01;1.01;0.89;3;16;15;3;4098.92;0.0298694;0.0077434;0.0254351;1;42298;0;0;1
1.02;0.95;0.95;2;16;8;1.01;1.01;2;2;15;8;3;1672;0.0671423;0.062553;0.0600714;4;43470;0;0;1
1.05;1.01;1.11;3;12.5;12.5;1.01;1.01;0.89;4;12;13.5;3;2946.75;0.0517956;0.0502634;0.0707113;3;43570;0;0;1
1.06;0.84;0.95;4;16;10.5;1.05;1.05;0.94;2;15;10.5;3;565;0.0263158;0.055336;0.0634374;3;43628;0;0;1
1.12;1.06;1.02;3;16;27.5;1.11;1.11;1.05;5;15;27;3;4030;0.0528866;0.0365789;0.0788428;3;44534;0;0;1
1.12;1.02;1.02;4;17;24;1.11;1.06;1.05;6;16.5;32.5;3;6405;0.0419001;0.0516433;0.132066;3;44883;0;0;1
1.01;0.91;1.05;3;16.5;12;1.01;1.01;0.89;3;15;9.5;3;3634.49;0.0329994;0.0359122;0.0555331;2;45763;0;0;1
1.05;0.95;1.16;3;16;11;1;1.01;0.94;3;15.5;10.5;3;4954;0.0205894;0.0341204;0.0585505;2;45772;0;0;1
1.2;1.18;1.06;3;15;12;1.15;1.1;1.05;3;15;16;3;4913;0.0331188;0.0380384;0.0774101;4;45907;0;0;1
1.12;1.02;1.02;4;16;11;1.12;1.05;1.05;4;16;18.5;3;9262;0.0609463;0.0698492;0.14873;6;46255;0;0;1
1.12;1.02;1.06;3;16;16;1.11;1.05;1.05;2;15;19.5;3;9262;0.0609463;0.0698492;0.14873;6;46255;0;0;1
1.27;1.27;2.24;3;17;20;1.4;1.29;1.05;4;24;17.5;3;7524;0.0487349;0.0504637;0.134828;1;46803;0;0;1
1.12;1.02;1.06;3;11.5;12.5;1.22;1.11;0.73;3;11.5;14.5;3;6970;0.0730606;0.0931701;0.133085;5;47738;0;0;1
1.12;1.07;1.06;2;11.5;17.25;1.21;1.01;0.94;3;11.5;18.5;3;4030;0.0528866;0.0474361;0.0859714;4;48350;0;0;1
1.05;0.94;1.16;4;16;15;1.01;1.01;0.94;3;16;14.5;3;1289.01;0.0198712;0.0142377;0.0335069;2;49038;0;0;1
1.12;1.07;1.06;2;17;14;1.11;1.06;2.11;3;15;13;3;3784;0.0308694;0.0263239;0.0510308;1;50884;0;0;1
1.02;0.91;0.91;4;16;16.5;1.01;1.01;0.94;3;16;12;3;2868;0.0507008;0.0360678;0.0987546;6;51022;0;0;1
1.05;1.01;0.94;2;14;16.5;1.01;1.01;1.05;3;11.5;11.5;3;5679.65;0.0324813;0.02757;0.0672836;5;51025;0;0;1
1.2;1.06;1.06;3;17;23.5;1.17;1.01;1.05;3;16;20;3;8153;0.0246954;0.0331476;0.0967378;1;51288;0;0;1
1.12;1.02;1.06;3;17;14.5;1.12;1.01;1.05;3;16;9;3;6659;0.032736;0.0439196;0.0670911;3;51561;0;0;1
1.12;1.07;1;3;18;19.75;1.11;1.06;1.05;4;16;21;3;2893;0.0411818;0.0592482;0.0806025;1;51781;0;0;1
1.12;1.02;1.02;3;17;18;1.11;1.01;1.05;2;16;16;3;4034;0.0726935;0.0344314;0.0673256;4;51848;0;0;1
1.12;1.02;1.06;3;17;18;1.17;1.06;2.11;3;17;13.5;3;9262;0.0609463;0.0250457;0.0754631;3;52919;0;0;1
1.05;1.01;1.05;4;16;16.25;1.01;1.01;1.05;3;16;11;3;13176;0.0697487;0.0237512;0.0369079;3;53087;0;0;1
1.02;0.9;0.95;3;16;15.75;1.01;1.01;0.73;4;16;20;3;3964;0.0234234;0.0248612;0.035246;1;53455;0;0;1
1.17;1.02;1.06;3;17;18.5;1.11;1.06;1.05;3;16;17;3;6405;0.0419001;0.0337599;0.0827105;1;53655;0;0;1
1.12;1;1.02;3;17;27.5;1.05;1.05;1.05;3;16;29.5;3;3229;0.0203021;0.0182062;0.0475192;3;53961;0;0;1
1.05;0.91;1.05;3;16;17.25;1.01;0.95;0.89;2;14;8;3;1412.9;0.0107989;0.0928655;0.0784191;2;54084;0;0;1
1.02;1.07;0.95;4;17;22;1.11;1.06;1.05;5;17;11.5;3;2499;0.0536385;0.0278037;0.0266369;3;54216;0;0;1
1.11;0.91;0.95;2;11.5;13;1.05;1.01;0.94;3;11;16;3;1412.9;0.0107989;0.0251859;0.0368119;4;54252;0;0;1
1.11;1.05;0.94;3;12.5;10;1.11;1.11;1.05;2;12.5;11.5;3;1412.9;0.0107989;0.0167543;0.0359461;2;54632;0;0;1
0.94;0.9;0.94;3;16;15;0.95;0.95;1.05;3;16;31;3;1412.9;0.0107989;0.0263158;0.056633;1;55759;0;0;1
1.12;0.91;0.95;5;16;16;1.01;1.01;0.94;4;15;10;3;1191;0.0287745;0.0220388;0.0324093;2;55878;0;0;1
1.18;1.07;1.17;4;19;31;1.06;1.06;1.05;3;19;34;3;6842;0.0252389;0.0367507;0.0947038;2;55878;0;0;1
1.12;1.09;1.06;3;15;14;1.11;1.06;1.05;3;15;13.75;3;2237;0.0439381;0.0148394;0.0435644;3;55917;0;0;1
1.27;1.07;2.13;4;17;32;1.11;1.05;1.05;3;16;23;3;4170;0.0191571;0.0361626;0.0375313;2;56380;0;0;1
1.12;1.02;1.06;4;17;20.5;1.11;1.06;1.05;4;17;32;3;1995;0.0288791;0.026696;0.0639248;3;57424;0;0;1
1.2;1.17;2.35;2;7;3;1.11;1.01;2.23;2;8;6;3;1204;0.034968;0.0160362;0.0129725;1;57672;0;0;1
1.12;1.02;0.95;4;16;20;1.17;1.06;0.95;4;16;21;3;3924;0.0195668;0.0249824;0.0798983;3;58039;0;0;1
1.18;1.02;1.06;3;17;32.5;1.1;1;1.05;3;17;22.5;3;3232;0.0463903;0.0403421;0.0751378;2;59266;0;0;1
1.05;1.01;0.94;3;15;18;0.96;1.01;1.01;3;16;18;3;4783.75;0.0104521;0.004298;0.0071392;2;59721;0;0;1
1.12;1.07;1.12;3;15;11.5;1.11;1.06;1.05;3;15;9.5;3;3126;0.0353328;0.0292281;0.0579337;3;60606;0;0;1
1.02;1.07;1.06;4;16;26;1.05;1.01;1.74;4;15;22;3;886;0.0198009;0.0254828;0.0553923;1;62194;0;0;1
1.12;1.06;1.06;4;17;20.5;1.11;1.06;1.05;3;17;32.5;3;2371;0.146089;0.0303532;0.0308618;5;62509;0;0;1
1.02;0.98;0.95;4;17;15.5;1.05;1.01;2;3;17;15;3;1179;0.0795362;0.0297103;0.0335308;3;62684;0;0;1
1.06;1;2.13;3;12.5;16;1.22;1.37;0.89;4;13.5;20;3;1179;0.0795362;0.0297103;0.0335308;3;62684;0;0;1
1.12;1.02;1.06;3;11.5;20.25;1.22;1.11;2.28;3;11.5;14.5;3;2300;0.0231569;0.0182582;0.0390742;2;62927;0;0;1
1.1;1;0.74;3;16;30;1.11;1;0.89;4;16;16;3;1962;0.0415863;0.0225605;0.038316;8;63905;0;0;1
1.27;1.04;1.12;3;17;17;1.26;1.08;1.05;4;16;27;3;697;0.0236247;0.035029;0.025974;3;64367;0;0;1
1.12;1.02;1.06;3;16.5;20;1.11;1.01;1.05;3;15.5;18;3;952;0.023496;0.0197356;0.0312887;2;65305;0;0;1
1.2;1.02;1.02;3;13.5;19;1.11;1.11;1.05;4;13;14;3;1901;0.034011;0.0135908;0.0190736;3;79025;0;0;1
1.12;1.02;1.06;4;19;19;1.11;1.06;1.05;3;17;12.5;3;759;0.0593081;0.0180639;0.0180424;2;80548;0;0;1
1.1;1.02;1.06;3;17;30;1.11;1.06;1.05;3;16;17;3;822;0.0205128;0.0085349;0.0102362;1;82797;0;0;1
1.07;1.02;0.74;3;16.5;19.5;1.11;1.06;1.05;3;15.5;18;3;1863;0.0380032;0.0155316;0.0197224;1;136529;0;0;1
