rank;title;year;length;budget;rating;votes;mpaa;Action;Animation;Comedy;Drama;Documentary;Romance;Short;p1;p2;p3;p4;p5;p6;p8;p7;p9;p10;WR
1;Shawshank Redemption, The;1994;142;25000000;9,1;149494;R;0;0;0;1;0;0;0;3,879310345;3,879310345;3,879310345;3,879310345;3,879310345;3,879310345;12,5;3,879310345;21,12068966;39,22413793;8,725628638
2;Godfather, The;1972;175;6000000;9,1;122755;;0;0;0;1;0;0;0;4,245283019;4,245283019;4,245283019;4,245283019;4,245283019;4,245283019;13,67924528;4,245283019;13,67924528;42,9245283;8,657879216
3;Lord of the Rings: The Return of the King, The;2003;251;94000000;9;103631;PG-13;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;56,08695652;8,511583083
4;Lord of the Rings: The Fellowship of the Ring, The;2001;208;93000000;8,8;157608;PG-13;1;0;0;0;0;0;0;4,245283019;4,245283019;4,245283019;4,245283019;4,245283019;4,245283019;13,67924528;4,245283019;13,67924528;42,9245283;8,483335032
5;Star Wars;1977;125;11000000;8,8;134640;PG;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;8,437775267
6;Pulp Fiction;1994;168;8000000;8,8;132745;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;8,43342384
7;Lord of the Rings: The Two Towers, The;2002;223;94000000;8,8;114797;PG-13;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;8,386360534
8;Star Wars: Episode V - The Empire Strikes Back;1980;129;18000000;8,8;103706;PG;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;8,350715923
9;Schindler's List;1993;195;25000000;8,8;97667;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;8,328597289
10;Godfather: Part II, The;1974;200;13000000;8,9;71363;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;8,273975941
11;Usual Suspects, The;1995;106;6000000;8,7;103854;R;0;0;0;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;8,270633768
12;Raiders of the Lost Ark;1981;115;20000000;8,7;93511;;1;0;0;0;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;8,233161003
13;Memento;2000;113;5000000;8,7;90317;R;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;8,2202307
14;Matrix, The;1999;136;63000000;8,5;143853;R;1;0;0;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;8,201956398
15;Casablanca;1942;102;950000;8,8;66030;;0;0;0;1;0;1;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;8,164763744
16;Fight Club;1999;139;63000000;8,5;112092;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;8,132906687
17;American Beauty;1999;121;15000000;8,5;109991;R;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;8,127193247
18;One Flew Over the Cuckoo's Nest;1975;133;4400000;8,7;70234;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;3,913043478;21,30434783;30;8,119056677
19;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;93;1800000;8,7;63471;PG;0;0;1;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;8,074647552
20;Silence of the Lambs, The;1991;118;19000000;8,5;92060;;0;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;8,070087507
21;Citizen Kane;1941;119;686033;8,7;61083;;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;13,80952381;42,38095238;8,057299857
22;Goodfellas;1990;145;25000000;8,6;68219;;0;0;0;1;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;8,03331771
23;Se7en;1995;127;30000000;8,4;88371;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,978149999
24;Apocalypse Now;1979;202;31500000;8,5;64785;R;1;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;12,60869565;21,30434783;30;7,93948815
25;Saving Private Ryan;1998;170;70000000;8,3;100267;R;1;0;0;1;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,938168421
26;Psycho;1960;108;806947;8,6;53962;;0;0;0;0;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,931000273
27;Braveheart;1995;177;53000000;8,3;92437;R;1;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;12,60869565;21,30434783;30;7,914043645
28;L.A. Confidential;1997;138;35000000;8,4;69600;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,894444435
29;Rear Window;1954;112;2000000;8,7;41035;;0;0;0;0;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,862178293
30;Eternal Sunshine of the Spotless Mind;2004;108;20000000;8,6;46240;R;0;0;1;1;0;1;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;7,85848461
31;Sixth Sense, The;1999;107;55000000;8,2;96987;PG-13;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,84893344
32;Shichinin no samurai;1954;206;500000;8,9;32141;;1;0;0;1;0;0;0;4,245283019;4,245283019;4,245283019;4,245283019;4,245283019;4,245283019;13,67924528;4,245283019;13,67924528;42,9245283;7,844268452
33;Monty Python and the Holy Grail;1975;91;250000;8,4;60565;;0;0;1;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;12,60869565;21,30434783;30;7,841061691
34;American History X;1998;119;10000000;8,4;59677;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,835200156
35;Forrest Gump;1994;142;55000000;8,2;89722;PG-13;0;0;1;1;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,826701449
36;Reservoir Dogs;1992;99;1200000;8,3;69240;R;0;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,81904121
37;Taxi Driver;1976;110;1300000;8,5;47873;;0;0;0;1;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,809407374
38;It's a Wonderful Life;1946;118;3180000;8,6;41199;;0;0;0;1;0;1;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;12,60869565;12,60869565;38,69565217;7,802018816
39;Clockwork Orange, A;1971;137;2200000;8,3;65283;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;12,60869565;21,30434783;30;7,797961339
40;Kill Bill: Vol. 1;2003;111;55000000;8,3;65026;R;1;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;7,796528154
41;2001: A Space Odyssey;1968;156;10500000;8,3;64982;;0;0;0;0;0;0;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;15,26315789;4,736842105;15,26315789;36,31578947;7,796281963
42;Aliens;1986;154;18500000;8,3;63961;R;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,790500822
43;Alien;1979;116;11000000;8,3;63400;R;0;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,787267461
44;Terminator 2: Judgment Day;1991;154;100000000;8,2;77614;R;1;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,782653864
45;Blade Runner;1982;117;28000000;8,2;74749;;1;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;12,60869565;21,30434783;30;7,77066681
46;Buono, il brutto, il cattivo, Il;1966;180;1200000;8,8;30224;;1;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;7,752890837
47;Requiem for a Dream;2000;102;4500000;8,4;47845;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;7,743461371
48;North by Northwest;1959;136;4000000;8,6;35648;;0;0;0;0;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,728981064
49;Fargo;1996;98;7000000;8,2;65597;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,727296087
50;Star Wars: Episode VI - Return of the Jedi;1983;135;32500000;8,1;82471;PG;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,724777322
51;Donnie Darko;2001;133;4500000;8,3;51961;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;7,711058115
52;Shining, The;1980;146;19000000;8,3;50908;;0;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,70288828
53;Bowling for Columbine;2002;120;4000000;8,5;36747;R;0;0;1;1;1;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;7,684971636
54;12 Angry Men;1957;96;340000;8,7;29278;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;3,913043478;21,30434783;30;7,680700166
55;Gladiator;2000;155;103000000;8;92495;R;1;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,678066672
56;Back to the Future;1985;111;19000000;8,1;68647;;1;0;1;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,669387632
57;Lawrence of Arabia;1962;227;15000000;8,6;31230;;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;7,660544969
58;Princess Bride, The;1987;98;16000000;8,2;53946;;0;0;1;0;0;1;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;12,60869565;21,30434783;30;7,657533549
59;Wo hu cang long;2000;120;15000000;8,2;52198;PG-13;1;0;0;0;0;1;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;7,645250442
60;Vertigo;1958;129;2479000;8,5;33875;;0;0;0;1;0;1;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,645213479
61;Kill Bill: Vol. 2;2004;136;30000000;8,3;44189;R;1;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;7,644902276
62;Indiana Jones and the Last Crusade;1989;127;48000000;8,1;61583;;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,634255496
63;Green Mile, The;1999;188;60000000;8,1;60142;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,626372925
64;Finding Nemo;2003;100;94000000;8,3;41846;;0;1;1;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,621940634
65;Cidade de Deus;2002;135;3300000;8,7;25964;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;7,614418876
66;Full Metal Jacket;1987;116;30000000;8,2;47757;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,611389194
67;Jaws;1975;130;12000000;8,2;46978;;0;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,605018806
68;Pianist, The;2002;150;35000000;8,5;30467;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;3,913043478;21,30434783;30;7,592693738
69;To Kill a Mockingbird;1962;129;2000000;8,5;30139;;0;0;0;1;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,587296534
70;Wizard of Oz, The;1939;112;2777000;8,3;38386;;0;0;0;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;13,80952381;13,80952381;32,85714286;7,584927959
71;Shrek;2001;90;60000000;8;65146;PG;0;1;1;0;0;1;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,58039673
72;Amadeus;1984;180;18000000;8,3;36955;R;0;0;0;1;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,568411647
73;Boot, Das;1981;216;14000000;8,5;28920;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;3,913043478;21,30434783;30;7,56666253
74;Pirates of the Caribbean: The Curse of the Black Pearl;2003;143;125000000;8;60812;PG-13;1;0;1;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;12,60869565;30;7,559204349
75;Die Hard;1988;131;28000000;8;58870;;1;0;0;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,548997777
76;Trainspotting;1996;94;3500000;8;51887;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,508037036
77;Big Lebowski, The;1998;117;15000000;8;50179;R;0;0;1;0;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,496860075
78;Twelve Monkeys;1995;129;29000000;7,9;62301;R;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,495359086
79;Toy Story 2;1999;92;90000000;8,1;40941;;0;1;1;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,488460041
80;Incredibles, The;2004;121;92000000;8,3;30749;PG;1;1;1;0;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,486970952
81;Terminator, The;1984;108;6400000;7,9;59772;;1;0;0;1;0;1;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;23,33333333;13,80952381;13,80952381;7,483287449
82;Raging Bull;1980;129;18000000;8,4;26739;;0;0;0;1;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,475638176
83;Magnolia;1999;188;37000000;8;45992;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;12,60869565;21,30434783;30;7,467185649
84;Being John Malkovich;1999;113;13000000;7,9;55079;;0;0;1;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,458866165
85;Chinatown;1974;131;6000000;8,4;25695;;0;0;0;1;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,456602103
86;Some Like It Hot;1959;120;2883848;8,4;25369;;0;0;1;0;0;1;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,45049621
87;Lost in Translation;2003;102;4000000;8;42450;R;0;0;1;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;13,80952381;23,33333333;23,33333333;7,439205984
88;Platoon;1986;120;6000000;8,1;35210;;1;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,430251513
89;Good Will Hunting;1997;126;10000000;7,8;60858;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,417676205
90;Sting, The;1973;129;5500000;8,4;23678;;0;0;1;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,417511886
91;Life of Brian;1979;94;4000000;8,1;33325;;0;0;1;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,408605977
92;Monsters, Inc.;2001;92;115000000;8;38712;;0;1;1;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,406304049
93;Almost Famous;2000;162;60000000;8;38648;R;0;0;1;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,40570707
94;Toy Story;1995;81;30000000;7,9;46019;;0;1;1;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,402590062
95;Singin' in the Rain;1952;103;2540800;8,5;20585;;0;0;1;0;0;1;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;13,80952381;13,80952381;32,85714286;7,396006221
96;Snatch.;2000;102;10000000;7,9;44785;R;0;0;1;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,39379442
97;Heat;1995;188;60000000;7,9;44588;R;1;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,392361378
98;Bridge on the River Kwai, The;1957;161;3000000;8,4;22408;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,39119228
99;C'era una volta il West;1968;158;5000000;8,7;17241;PG-13;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;7,390240373
100;Big Fish;2003;125;70000000;8,1;31525;PG-13;0;0;1;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,386589006
101;Graduate, The;1967;105;3000000;8,2;27555;;0;0;1;1;0;1;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,385128791
102;Rain Man;1988;133;25000000;7,9;42562;;0;0;1;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;30;12,60869565;21,30434783;12,60869565;7,377138681
103;Minority Report;2002;145;102000000;7,8;51199;PG-13;1;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,369212766
104;Sin City;2005;124;45500000;8,3;23473;R;1;0;0;0;0;0;0;3,879310345;3,879310345;3,879310345;3,879310345;3,879310345;3,879310345;12,5;3,879310345;21,12068966;39,22413793;7,364931892
105;Spider-Man 2;2004;127;200000000;7,9;40256;PG-13;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,358661941
106;Clerks.;1994;92;230000;7,9;39927;R;0;0;1;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;12,60869565;30;7,355918856
107;Truman Show, The;1998;103;60000000;7,7;62434;PG;0;0;1;1;0;0;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;7,353160596
108;Gone with the Wind;1939;233;3900000;8,1;28836;;0;0;0;1;0;1;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;13,80952381;13,80952381;32,85714286;7,350955561
109;Deer Hunter, The;1978;183;15000000;8,1;28210;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,342143274
110;X2;2003;133;110000000;7,9;38191;PG-13;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,340971714
111;E.T. the Extra-Terrestrial;1982;120;10500000;7,8;44175;PG;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,325470814
112;Annie Hall;1977;93;4000000;8,3;21462;;0;0;1;0;0;1;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;12,60869565;21,30434783;30;7,324459636
113;Maltese Falcon, The;1941;101;300000;8,4;19444;;0;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,32391422
114;Stand by Me;1986;89;8000000;8;30805;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,322183381
115;Brazil;1985;94;15000000;8;30735;;0;0;1;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;12,60869565;21,30434783;30;7,321332082
116;Beautiful Mind, A;2001;135;60000000;7,8;43291;PG-13;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,319328222
117;Sunset Blvd.;1950;115;1752000;8,6;16149;;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;7,316237177
118;Mulholland Dr.;2001;147;15000000;7,9;35504;R;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;7,316145108
119;Fahrenheit 9/11;2004;122;6000000;7,9;34666;R;0;0;0;0;1;0;0;12,60869565;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;12,60869565;38,69565217;7,307944953
120;Traffic;2000;147;48000000;7,8;41268;R;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,304654488
121;Exorcist, The;1973;132;1000000;7,9;34162;;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,302901247
122;Mystic River;2003;137;30000000;8;28969;R;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,299124379
123;Million Dollar Baby;2004;132;30000000;8,3;20195;PG-13;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;7,297111264
124;Insider, The;1999;157;68000000;8;28780;R;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,296661279
125;Great Escape, The;1963;172;4000000;8,3;20075;;1;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,294441344
