rank;title;year;length;budget;rating;votes;mpaa;Action;Animation;Comedy;Drama;Documentary;Romance;Short;p1;p2;p3;p4;p5;p6;p8;p7;p9;p10;WR
126;Fugitive, The;1993;130;44000000;7,7;48292;;1;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;30;21,30434783;12,60869565;12,60869565;7,286236473
127;Moulin Rouge!;2001;127;52500000;7,7;47689;PG-13;0;0;0;1;0;1;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;15,26315789;4,736842105;15,26315789;36,31578947;7,28280405
128;As Good as It Gets;1997;139;50000000;7,7;47441;PG-13;0;0;1;1;0;1;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;7,28137579
129;Ying xiong;2002;93;30000000;8,1;24128;PG-13;1;0;0;1;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,27917366
130;O Brother, Where Art Thou?;2000;106;26000000;7,8;37961;PG-13;0;0;1;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,278636673
131;Last Samurai, The;2003;154;100000000;7,9;31668;R;1;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,276622496
132;Untouchables, The;1987;119;25000000;7,9;31587;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;30;12,60869565;21,30434783;12,60869565;7,275730178
133;Garden State;2004;109;2500000;8,1;23814;R;0;0;1;1;0;1;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;7,273893629
134;Others, The;2001;104;17000000;7,8;36914;PG-13;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,269820131
135;Paths of Glory;1957;87;935000;8,6;14391;;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;7,258943505
136;Dead Poets Society;1989;128;16400000;7,7;43294;;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,255955773
137;Glory;1989;122;18000000;8,1;21861;;1;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,23946445
138;Scarface;1983;170;25000000;7,9;28300;;0;0;0;1;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,237231587
139;Lion King, The;1994;89;79300000;7,8;32924;;0;1;1;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,233299558
140;Once Upon a Time in America;1984;227;30000000;8,2;19292;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;12,60869565;21,30434783;30;7,233108543
141;Ben-Hur;1959;214;15000000;8,1;21031;;1;0;0;1;0;1;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,223947852
142;Ed Wood;1994;127;18000000;8;22612;R;0;0;1;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,205545736
143;Young Frankenstein;1974;106;2800000;8;22281;;0;0;1;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,199984002
144;Adaptation.;2002;114;19000000;7,9;25140;R;0;0;1;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,195461579
145;21 Grams;2003;124;20000000;8;21857;R;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,192744811
146;Dances with Wolves;1990;236;19000000;7,8;28561;;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,187136976
147;Shrek 2;2004;92;75000000;7,8;27236;PG;0;1;1;0;0;0;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;7,171591309
148;Casino;1995;176;52000000;7,8;27234;R;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,171567247
149;Catch Me If You Can;2002;141;52000000;7,6;39915;PG-13;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;32,85714286;23,33333333;13,80952381;4,285714286;7,17135398
150;Elephant Man, The;1980;124;5000000;8,2;16422;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,166115677
151;JFK;1991;206;40000000;7,8;26456;R;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,162065524
152;Road to Perdition;2002;117;80000000;7,7;30526;R;0;0;0;1;0;0;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;7,153849433
153;Harry Potter and the Prisoner of Azkaban;2004;141;130000000;7,8;24973;PG;0;0;0;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,143134164
154;Spider-Man;2002;121;139000000;7,4;63228;PG-13;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;21,30434783;21,30434783;12,60869565;12,60869565;7,141288974
155;Blues Brothers, The;1980;148;27000000;7,7;28964;;1;0;1;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,138040983
156;Ocean's Eleven;2001;116;85000000;7,5;44662;PG-13;0;0;1;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;30;21,30434783;12,60869565;12,60869565;7,136450914
157;On the Waterfront;1954;108;910000;8,4;12803;;0;0;0;1;0;1;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,134874047
158;Amores perros;2000;153;2000000;8,2;15079;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,131471434
159;Double Indemnity;1944;110;927262;8,5;11592;;0;0;0;1;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,124684182
160;Planet of the Apes;1968;107;5800000;7,9;20516;;1;0;0;1;0;0;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;7,123887064
161;Jurassic Park;1993;127;63000000;7,4;57473;;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;21,30434783;21,30434783;12,60869565;12,60869565;7,123236012
162;Shakespeare in Love;1998;122;25000000;7,5;41999;R;0;0;1;1;0;1;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;7,122000979
163;South Park: Bigger Longer & Uncut;1999;81;21000000;7,6;33188;R;0;1;1;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,121799058
164;Airplane!;1980;88;3500000;7,8;23369;;0;0;1;0;0;0;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;7,121351353
165;Edward Scissorhands;1990;105;20000000;7,7;27017;;0;0;0;1;0;1;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,117006817
166;Apollo 13;1995;140;62000000;7,5;41098;PG;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;21,30434783;21,30434783;12,60869565;12,60869565;7,11684837
167;Black Hawk Down;2001;142;90000000;7,6;32530;R;1;0;0;1;0;0;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;7,11632963
168;Rocky;1976;119;1100000;7,8;22893;;0;0;0;1;0;1;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,114606385
169;Chasing Amy;1997;111;250000;7,6;32141;R;0;0;1;1;0;1;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,113036937
170;Patton;1970;172;12000000;8,2;14351;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,111703479
171;Close Encounters of the Third Kind;1977;137;20000000;7,7;26304;;0;0;0;1;0;0;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;7,108904639
172;Office Space;1999;89;10000000;7,7;26134;R;0;0;1;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,106939484
173;Ran;1985;160;11500000;8,4;11981;;1;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;7,106753295
174;Royal Tenenbaums, The;2001;111;21000000;7,6;31227;R;0;0;1;1;0;0;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;15,26315789;15,26315789;15,26315789;25,78947368;7,105121091
175;True Romance;1993;121;12500000;7,7;25896;;1;0;0;1;0;1;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,104166213
176;Spartacus;1960;198;12000000;8;17084;;1;0;0;1;0;1;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,101189136
177;Sideways;2004;123;16000000;8;17051;R;0;0;1;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,100483784
178;Touch of Evil;1958;106;829000;8,4;11745;;0;0;0;0;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,098447233
179;Fish Called Wanda, A;1988;108;7500000;7,7;25035;;0;0;1;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;23,33333333;13,80952381;13,80952381;7,093913133
180;Mr. Smith Goes to Washington;1939;129;1500000;8,4;11565;;0;0;1;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,092040027
181;Shaun of the Dead;2004;99;4000000;7,9;18685;R;0;0;1;0;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,091357299
182;High Fidelity;2000;113;20000000;7,6;29704;R;0;0;1;1;0;1;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,091343295
183;High Noon;1952;85;750000;8,3;12465;;0;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,090189339
184;Collateral;2004;120;65000000;7,7;24499;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;30;21,30434783;12,60869565;12,60869565;7,08735012
185;When Harry Met Sally...;1989;96;16000000;7,7;24492;;0;0;1;0;0;1;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;7,087263469
186;Straight Story, The;1999;112;10000000;8,1;14679;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,083705325
187;Sound of Music, The;1965;174;8200000;7,8;20641;;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;13,80952381;13,80952381;32,85714286;7,080787967
188;Apartment, The;1960;125;3000000;8,4;11214;;0;0;1;1;0;1;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,079362777
189;Chicago;2002;113;45000000;7,5;34933;PG-13;0;0;1;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,07743553
190;Game, The;1997;128;50000000;7,6;28099;R;0;0;0;0;0;0;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;7,075968353
191;Modern Times;1936;87;1500000;8,5;10326;;0;0;1;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;7,075396127
192;Gandhi;1982;188;22000000;8;15879;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,074694674
193;Birds, The;1963;119;2500000;7,8;20072;;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;23,33333333;13,80952381;13,80952381;7,071708457
194;Boogie Nights;1997;156;15000000;7,6;27380;R;0;0;0;1;0;0;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;7,068775174
195;Goldfinger;1964;112;3000000;7,8;19754;;1;0;0;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;23,33333333;13,80952381;13,80952381;7,066533574
196;Nightmare Before Christmas, The;1993;76;18000000;7,8;19646;;0;1;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;12,60869565;30;7,064759297
197;Hunt for Red October, The;1990;134;30000000;7,6;26666;;1;0;0;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;23,33333333;13,80952381;13,80952381;7,061433894
198;Rushmore;1998;93;10000000;7,7;22209;R;0;0;1;1;0;1;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;12,60869565;30;7,057631884
199;Gattaca;1997;101;36000000;7,6;26071;PG-13;0;0;0;1;0;0;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;7,055159358
200;Rebecca;1940;130;1288000;8,3;11403;;0;0;0;1;0;1;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,054895025
201;Treasure of the Sierra Madre, The;1948;126;3800000;8,4;10470;;1;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,051661787
202;Great Dictator, The;1940;124;2000000;8,4;10465;;0;0;1;0;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;19,6;11,6;19,6;27,6;7,051471693
203;Miller's Crossing;1990;115;14000000;8;14575;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,044205776
204;Sleepy Hollow;1999;105;65000000;7,4;38857;R;0;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;21,30434783;21,30434783;12,60869565;12,60869565;7,042552008
205;Festen;1998;105;1300000;8,2;11983;R;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;7,042020485
206;Ghost Busters;1984;107;30000000;7,5;29762;;0;0;1;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;21,30434783;21,30434783;12,60869565;12,60869565;7,037534122
207;Ghost World;2000;111;7000000;7,8;17976;R;0;0;1;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,036188654
208;Jackie Brown;1997;154;12000000;7,5;28891;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;21,30434783;21,30434783;12,60869565;12,60869565;7,030059631
209;Notorious;1946;101;2000000;8,3;10637;;0;0;0;0;0;1;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,028132098
210;Strangers on a Train;1951;103;1200000;8,3;10624;PG;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,027667965
211;Dark City;1998;100;27000000;7,6;23508;;0;0;0;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;7,026371807
212;Batman;1989;126;35000000;7,4;35927;;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;21,30434783;21,30434783;12,60869565;12,60869565;7,025362214
213;Iron Giant, The;1999;86;48000000;7,9;15151;PG;0;1;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;7,020182401
214;Butterfly Effect, The;2004;120;13000000;7,6;22975;R;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,019998824
215;Thing, The;1982;109;10000000;7,8;17071;;1;0;0;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,019758113
216;Sjunde inseglet, Det;1957;92;150000;8,4;9622;;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;13,80952381;42,38095238;7,018636809
217;Halloween;1978;101;325000;7,7;19248;;0;0;0;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,014645715
218;Aladdin;1992;90;28000000;7,6;22499;;0;1;1;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;23,33333333;13,80952381;13,80952381;7,01418648
219;Passion of the Christ, The;2004;127;30000000;7,4;34046;R;0;0;0;1;0;0;0;12,60869565;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;12,60869565;38,69565217;7,013427558
220;X-Men;2000;104;75000000;7,3;45332;PG-13;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;21,30434783;21,30434783;12,60869565;12,60869565;7,011005568
221;Blue Velvet;1986;120;6000000;7,7;18756;;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,006939473
222;Dogma;1999;130;10000000;7,3;43391;R;0;0;1;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;7,002803638
223;All the President's Men;1976;138;8500000;8;12724;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;30;12,60869565;21,30434783;12,60869565;6,99730791
224;Few Good Men, A;1992;138;33000000;7,5;25237;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;21,30434783;21,30434783;12,60869565;12,60869565;6,995878408
225;Wild Bunch, The;1969;179;6000000;8,2;10550;;1;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;12,60869565;30;6,995342998
226;25th Hour;2002;135;15000000;7,8;15788;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;30;12,60869565;21,30434783;12,60869565;6,995215347
227;Ring, The;2002;115;45000000;7,4;30687;PG-13;0;0;0;1;0;0;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;6,990109785
228;Barry Lyndon;1975;184;11000000;8;12285;;0;0;0;1;0;1;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;12,60869565;30;6,985502041
229;Searchers, The;1956;119;3750000;8,2;10211;;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;13,80952381;13,80952381;32,85714286;6,983744954
230;Donnie Brasco;1997;127;35000000;7,6;20029;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;30;21,30434783;12,60869565;12,60869565;6,982052535
231;Raising Arizona;1987;94;6000000;7,6;19991;;0;0;1;0;0;0;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;6,981530608
232;Blazing Saddles;1974;93;2600000;7,7;17166;;0;0;1;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;6,980805473
233;Harry Potter and the Chamber of Secrets;2002;152;100000000;7,3;38394;PG;0;0;0;0;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;21,30434783;21,30434783;12,60869565;12,60869565;6,979377285
234;Man Who Wasn't There, The;2001;118;20000000;7,7;17028;R;0;0;1;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;23,33333333;13,80952381;6,97844398
235;Fantasia;1940;80;2280000;7,8;14925;;0;1;0;0;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;6,977819501
236;MASH;1970;112;3500000;7,8;14829;R;0;0;1;1;0;0;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;6,975837796
237;Billy Elliot;2000;110;5000000;7,7;16725;R;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;6,97320416
238;Midnight Cowboy;1969;113;3600000;7,9;13091;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;6,972600971
239;Contact;1997;153;90000000;7,3;36390;PG;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;13,80952381;13,80952381;23,33333333;6,968910956
240;Right Stuff, The;1983;193;27000000;7,9;12907;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;6,96809939
241;Pleasantville;1998;124;40000000;7,5;22561;PG-13;0;0;1;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;21,30434783;21,30434783;12,60869565;12,60869565;6,967514215
242;Deliverance;1972;109;2000000;7,8;14417;;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;32,85714286;13,80952381;13,80952381;13,80952381;6,96722337
243;City Lights;1931;87;1500000;8,5;7802;;0;0;1;1;0;1;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;3,913043478;21,30434783;38,69565217;6,965777806
244;Snow White and the Seven Dwarfs;1937;83;1488000;7,8;14341;;0;1;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;23,33333333;23,33333333;13,80952381;13,80952381;6,96561459
245;Bonnie and Clyde;1967;111;2500000;7,9;12653;;0;0;0;1;0;1;0;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;4,736842105;25,78947368;15,26315789;15,26315789;15,26315789;6,961812966
246;Gangs of New York;2002;166;97000000;7,3;34808;R;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;21,30434783;21,30434783;12,60869565;12,60869565;6,960153217
247;Jerry Maguire;1996;139;50000000;7,3;34623;R;0;0;1;1;0;1;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;12,60869565;21,30434783;21,30434783;12,60869565;12,60869565;6,95909873
248;Cast Away;2000;143;90000000;7,3;34580;PG-13;0;0;0;1;0;0;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;23,33333333;23,33333333;13,80952381;4,285714286;6,958852695
249;Before Sunset;2004;80;10000000;8,3;8789;R;0;0;0;1;0;1;0;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;4,285714286;13,80952381;4,285714286;23,33333333;32,85714286;6,958570647
250;Conversation, The;1974;113;1600000;8,1;10260;;0;0;0;1;0;0;0;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;3,913043478;21,30434783;12,60869565;21,30434783;21,30434783;6,956337028
